city_ascii,state_name,Year,Month,Monthly_Avg_AQI
Albany,New York,1980,5,47.16129032258065
Albany,New York,1980,6,69.13333333333334
Albany,New York,1980,7,79.2258064516129
Albany,New York,1980,8,66.96774193548387
Albany,New York,1980,9,55.233333333333334
Albany,New York,1980,10,30.35483870967742
Albany,New York,1980,11,31.9
Albany,New York,1980,12,29.0
Albany,New York,1981,1,27.93548387096774
Albany,New York,1981,2,29.321428571428573
Albany,New York,1981,3,30.35483870967742
Albany,New York,1981,4,42.63333333333333
Albany,New York,1981,5,55.516129032258064
Albany,New York,1981,6,55.766666666666666
Albany,New York,1981,7,55.87096774193548
Albany,New York,1981,8,68.19354838709677
Albany,New York,1981,9,31.566666666666666
Albany,New York,1981,10,31.258064516129032
Albany,New York,1981,11,25.233333333333334
Albany,New York,1981,12,28.258064516129032
Albany,New York,1982,1,26.70967741935484
Albany,New York,1982,2,29.357142857142858
Albany,New York,1982,3,38.16129032258065
Albany,New York,1982,4,43.6
Albany,New York,1982,5,50.354838709677416
Albany,New York,1982,6,58.53333333333333
Albany,New York,1982,7,69.54838709677419
Albany,New York,1982,8,46.225806451612904
Albany,New York,1982,9,44.13333333333333
Albany,New York,1982,10,36.96774193548387
Albany,New York,1982,11,31.1
Albany,New York,1982,12,23.838709677419356
Albany,New York,1983,1,27.967741935483872
Albany,New York,1983,2,31.535714285714285
Albany,New York,1983,3,25.161290322580644
Albany,New York,1983,4,38.4
Albany,New York,1983,5,41.354838709677416
Albany,New York,1983,6,86.36666666666666
Albany,New York,1983,7,60.70967741935484
Albany,New York,1983,8,58.935483870967744
Albany,New York,1983,9,46.733333333333334
Albany,New York,1983,10,28.387096774193548
Albany,New York,1983,11,34.733333333333334
Albany,New York,1983,12,26.225806451612904
Albany,New York,1984,1,23.93548387096774
Albany,New York,1984,2,29.17241379310345
Albany,New York,1984,3,31.096774193548388
Albany,New York,1984,4,37.4
Albany,New York,1984,5,44.516129032258064
Albany,New York,1984,6,53.333333333333336
Albany,New York,1984,7,45.225806451612904
Albany,New York,1984,8,49.03225806451613
Albany,New York,1984,9,32.03333333333333
Albany,New York,1984,10,28.838709677419356
Albany,New York,1984,11,31.1
Albany,New York,1984,12,25.806451612903224
Albany,New York,1985,1,22.29032258064516
Albany,New York,1985,2,36.07142857142857
Albany,New York,1985,3,36.935483870967744
Albany,New York,1985,4,39.1
Albany,New York,1985,5,63.0
Albany,New York,1985,6,45.9
Albany,New York,1985,7,69.45161290322581
Albany,New York,1985,8,64.03225806451613
Albany,New York,1985,9,44.6
Albany,New York,1985,10,32.83870967741935
Albany,New York,1985,11,26.1
Albany,New York,1985,12,25.0
Albany,New York,1986,1,39.16129032258065
Albany,New York,1986,2,33.107142857142854
Albany,New York,1986,3,40.74193548387097
Albany,New York,1986,4,44.766666666666666
Albany,New York,1986,5,55.45161290322581
Albany,New York,1986,6,49.3
Albany,New York,1986,7,49.12903225806452
Albany,New York,1986,8,51.0
Albany,New York,1986,9,35.266666666666666
Albany,New York,1986,10,26.29032258064516
Albany,New York,1986,11,26.366666666666667
Albany,New York,1986,12,27.032258064516128
Albany,New York,1987,1,31.06451612903226
Albany,New York,1987,2,34.25
Albany,New York,1987,3,44.29032258064516
Albany,New York,1987,4,41.7
Albany,New York,1987,5,59.54838709677419
Albany,New York,1987,6,56.8
Albany,New York,1987,7,64.70967741935483
Albany,New York,1987,8,56.96774193548387
Albany,New York,1987,9,30.7
Albany,New York,1987,10,31.35483870967742
Albany,New York,1987,11,35.43333333333333
Albany,New York,1987,12,29.838709677419356
Albany,New York,1988,1,28.548387096774192
Albany,New York,1988,2,33.275862068965516
Albany,New York,1988,3,31.580645161290324
Albany,New York,1988,4,33.666666666666664
Albany,New York,1988,5,50.12903225806452
Albany,New York,1988,6,71.36666666666666
Albany,New York,1988,7,113.29032258064517
Albany,New York,1988,8,78.7741935483871
Albany,New York,1988,9,40.7
Albany,New York,1988,10,33.903225806451616
Albany,New York,1988,11,33.7
Albany,New York,1988,12,27.741935483870968
Albany,New York,1989,1,30.258064516129032
Albany,New York,1989,2,30.535714285714285
Albany,New York,1989,3,38.12903225806452
Albany,New York,1989,4,44.333333333333336
Albany,New York,1989,5,56.483870967741936
Albany,New York,1989,6,57.266666666666666
Albany,New York,1989,7,68.61290322580645
Albany,New York,1989,8,49.83870967741935
Albany,New York,1989,9,44.666666666666664
Albany,New York,1989,10,34.83870967741935
Albany,New York,1989,11,26.066666666666666
Albany,New York,1989,12,27.677419354838708
Albany,New York,1990,1,40.61290322580645
Albany,New York,1990,2,39.357142857142854
Albany,New York,1990,3,45.225806451612904
Albany,New York,1990,4,45.06666666666667
Albany,New York,1990,5,49.96774193548387
Albany,New York,1990,6,57.4
Albany,New York,1990,7,56.41935483870968
Albany,New York,1990,8,55.12903225806452
Albany,New York,1990,9,42.233333333333334
Albany,New York,1990,10,32.67741935483871
Albany,New York,1990,11,39.36666666666667
Albany,New York,1990,12,32.903225806451616
Albany,New York,1991,1,37.29032258064516
Albany,New York,1991,2,39.92857142857143
Albany,New York,1991,3,38.32258064516129
Albany,New York,1991,4,48.733333333333334
Albany,New York,1991,5,62.12903225806452
Albany,New York,1991,6,69.33333333333333
Albany,New York,1991,7,63.74193548387097
Albany,New York,1991,8,55.58064516129032
Albany,New York,1991,9,41.7
Albany,New York,1991,10,34.903225806451616
Albany,New York,1991,11,25.366666666666667
Albany,New York,1991,12,28.258064516129032
Albany,New York,1992,1,32.32258064516129
Albany,New York,1992,2,30.103448275862068
Albany,New York,1992,3,39.74193548387097
Albany,New York,1992,4,38.733333333333334
Albany,New York,1992,5,56.903225806451616
Albany,New York,1992,6,67.1
Albany,New York,1992,7,40.096774193548384
Albany,New York,1992,8,52.516129032258064
Albany,New York,1992,9,39.666666666666664
Albany,New York,1992,10,27.870967741935484
Albany,New York,1992,11,21.733333333333334
Albany,New York,1992,12,29.419354838709676
Albany,New York,1993,1,26.677419354838708
Albany,New York,1993,2,32.92857142857143
Albany,New York,1993,3,50.064516129032256
Albany,New York,1993,4,47.3
Albany,New York,1993,5,46.87096774193548
Albany,New York,1993,6,52.9
Albany,New York,1993,7,47.54838709677419
Albany,New York,1993,8,69.19354838709677
Albany,New York,1993,9,32.666666666666664
Albany,New York,1993,10,29.0
Albany,New York,1993,11,27.833333333333332
Albany,New York,1993,12,25.806451612903224
Albany,New York,1994,1,30.096774193548388
Albany,New York,1994,2,37.107142857142854
Albany,New York,1994,3,39.193548387096776
Albany,New York,1994,4,47.9
Albany,New York,1994,5,54.16129032258065
Albany,New York,1994,6,71.53333333333333
Albany,New York,1994,7,68.93548387096774
Albany,New York,1994,8,50.67741935483871
Albany,New York,1994,9,30.833333333333332
Albany,New York,1994,10,26.967741935483872
Albany,New York,1994,11,28.7
Albany,New York,1994,12,26.0
Albany,New York,1995,1,30.483870967741936
Albany,New York,1995,2,37.535714285714285
Albany,New York,1995,3,37.903225806451616
Albany,New York,1995,4,39.13333333333333
Albany,New York,1995,5,40.225806451612904
Albany,New York,1995,6,74.43333333333334
Albany,New York,1995,7,70.3225806451613
Albany,New York,1995,8,58.774193548387096
Albany,New York,1995,9,35.8
Albany,New York,1995,10,33.483870967741936
Albany,New York,1995,11,28.933333333333334
Albany,New York,1995,12,30.096774193548388
Albany,New York,1996,1,34.0
Albany,New York,1996,2,35.44827586206897
Albany,New York,1996,3,43.935483870967744
Albany,New York,1996,4,45.2
Albany,New York,1996,5,48.193548387096776
Albany,New York,1996,6,58.6
Albany,New York,1996,7,58.54838709677419
Albany,New York,1996,8,63.096774193548384
Albany,New York,1996,9,29.566666666666666
Albany,New York,1996,10,27.838709677419356
Albany,New York,1996,11,28.166666666666668
Albany,New York,1996,12,26.677419354838708
Albany,New York,1997,1,30.483870967741936
Albany,New York,1997,2,35.464285714285715
Albany,New York,1997,3,39.45161290322581
Albany,New York,1997,4,45.666666666666664
Albany,New York,1997,5,42.38709677419355
Albany,New York,1997,6,62.733333333333334
Albany,New York,1997,7,58.38709677419355
Albany,New York,1997,8,53.54838709677419
Albany,New York,1997,9,34.7
Albany,New York,1997,10,32.806451612903224
Albany,New York,1997,11,32.1
Albany,New York,1997,12,33.38709677419355
Albany,New York,1998,1,33.03225806451613
Albany,New York,1998,2,39.464285714285715
Albany,New York,1998,3,42.0
Albany,New York,1998,4,46.333333333333336
Albany,New York,1998,5,68.29032258064517
Albany,New York,1998,6,49.3
Albany,New York,1998,7,63.0
Albany,New York,1998,8,57.70967741935484
Albany,New York,1998,9,46.3
Albany,New York,1998,10,30.322580645161292
Albany,New York,1998,11,28.833333333333332
Albany,New York,1998,12,30.419354838709676
Albany,New York,1999,1,37.096774193548384
Albany,New York,1999,2,36.035714285714285
Albany,New York,1999,3,45.87096774193548
Albany,New York,1999,4,44.2
Albany,New York,1999,5,50.74193548387097
Albany,New York,1999,6,75.3
Albany,New York,1999,7,79.41935483870968
Albany,New York,1999,8,53.16129032258065
Albany,New York,1999,9,55.766666666666666
Albany,New York,1999,10,34.58064516129032
Albany,New York,1999,11,32.56666666666667
Albany,New York,1999,12,33.70967741935484
Albany,New York,2000,1,37.645161290322584
Albany,New York,2000,2,42.724137931034484
Albany,New York,2000,3,39.903225806451616
Albany,New York,2000,4,42.96666666666667
Albany,New York,2000,5,51.225806451612904
Albany,New York,2000,6,56.2
Albany,New York,2000,7,45.193548387096776
Albany,New York,2000,8,40.54838709677419
Albany,New York,2000,9,42.2
Albany,New York,2000,10,38.70967741935484
Albany,New York,2000,11,28.7
Albany,New York,2000,12,34.96774193548387
Albany,New York,2001,1,37.96774193548387
Albany,New York,2001,2,35.57142857142857
Albany,New York,2001,3,44.29032258064516
Albany,New York,2001,4,51.43333333333333
Albany,New York,2001,5,62.70967741935484
Albany,New York,2001,6,76.06666666666666
Albany,New York,2001,7,55.87096774193548
Albany,New York,2001,8,67.16129032258064
Albany,New York,2001,9,45.03333333333333
Albany,New York,2001,10,43.03225806451613
Albany,New York,2001,11,31.566666666666666
Albany,New York,2001,12,29.580645161290324
Albany,New York,2002,1,34.74193548387097
Albany,New York,2002,2,39.357142857142854
Albany,New York,2002,3,40.58064516129032
Albany,New York,2002,4,45.93333333333333
Albany,New York,2002,5,52.96774193548387
Albany,New York,2002,6,70.7
Albany,New York,2002,7,87.83870967741936
Albany,New York,2002,8,80.61290322580645
Albany,New York,2002,9,68.06666666666666
Albany,New York,2002,10,33.645161290322584
Albany,New York,2002,11,36.53333333333333
Albany,New York,2002,12,43.354838709677416
Albany,New York,2003,1,41.41935483870968
Albany,New York,2003,2,41.392857142857146
Albany,New York,2003,3,45.96774193548387
Albany,New York,2003,4,59.8
Albany,New York,2003,5,45.29032258064516
Albany,New York,2003,6,66.23333333333333
Albany,New York,2003,7,71.3225806451613
Albany,New York,2003,8,60.645161290322584
Albany,New York,2003,9,38.63333333333333
Albany,New York,2003,10,38.193548387096776
Albany,New York,2003,11,35.6
Albany,New York,2003,12,37.354838709677416
Albany,New York,2004,1,35.064516129032256
Albany,New York,2004,2,46.827586206896555
Albany,New York,2004,3,47.87096774193548
Albany,New York,2004,4,55.9
Albany,New York,2004,5,57.87096774193548
Albany,New York,2004,6,58.96666666666667
Albany,New York,2004,7,59.16129032258065
Albany,New York,2004,8,51.645161290322584
Albany,New York,2004,9,38.56666666666667
Albany,New York,2004,10,34.483870967741936
Albany,New York,2004,11,32.5
Albany,New York,2004,12,32.516129032258064
Albany,New York,2005,1,39.67741935483871
Albany,New York,2005,2,46.785714285714285
Albany,New York,2005,3,48.45161290322581
Albany,New York,2005,4,57.93333333333333
Albany,New York,2005,5,45.83870967741935
Albany,New York,2005,6,78.53333333333333
Albany,New York,2005,7,51.0
Albany,New York,2005,8,54.645161290322584
Albany,New York,2005,9,49.93333333333333
Albany,New York,2005,10,35.225806451612904
Albany,New York,2005,11,38.733333333333334
Albany,New York,2005,12,35.54838709677419
Albany,New York,2006,1,38.193548387096776
Albany,New York,2006,2,36.535714285714285
Albany,New York,2006,3,43.774193548387096
Albany,New York,2006,4,45.36666666666667
Albany,New York,2006,5,48.25806451612903
Albany,New York,2006,6,49.333333333333336
Albany,New York,2006,7,59.54838709677419
Albany,New York,2006,8,45.67741935483871
Albany,New York,2006,9,33.43333333333333
Albany,New York,2006,10,31.451612903225808
Albany,New York,2006,11,28.133333333333333
Albany,New York,2006,12,27.35483870967742
Albany,New York,2007,1,45.54838709677419
Albany,New York,2007,2,48.464285714285715
Albany,New York,2007,3,46.83870967741935
Albany,New York,2007,4,45.96666666666667
Albany,New York,2007,5,61.806451612903224
Albany,New York,2007,6,60.86666666666667
Albany,New York,2007,7,56.03225806451613
Albany,New York,2007,8,57.03225806451613
Albany,New York,2007,9,55.93333333333333
Albany,New York,2007,10,43.38709677419355
Albany,New York,2007,11,40.7
Albany,New York,2007,12,50.064516129032256
Albany,New York,2008,1,56.096774193548384
Albany,New York,2008,2,50.41379310344828
Albany,New York,2008,3,46.806451612903224
Albany,New York,2008,4,63.3
Albany,New York,2008,5,50.0
Albany,New York,2008,6,57.233333333333334
Albany,New York,2008,7,61.41935483870968
Albany,New York,2008,8,40.193548387096776
Albany,New York,2008,9,39.4
Albany,New York,2008,10,35.87096774193548
Albany,New York,2008,11,41.96666666666667
Albany,New York,2008,12,43.516129032258064
Albany,New York,2009,1,56.96774193548387
Albany,New York,2009,2,47.07142857142857
Albany,New York,2009,3,47.38709677419355
Albany,New York,2009,4,51.6
Albany,New York,2009,5,50.61290322580645
Albany,New York,2009,6,40.56666666666667
Albany,New York,2009,7,43.0
Albany,New York,2009,8,46.16129032258065
Albany,New York,2009,9,32.36666666666667
Albany,New York,2009,10,32.67741935483871
Albany,New York,2009,11,38.333333333333336
Albany,New York,2009,12,41.45161290322581
Albany,New York,2010,1,48.12903225806452
Albany,New York,2010,2,40.785714285714285
Albany,New York,2010,3,45.54838709677419
Albany,New York,2010,4,51.93333333333333
Albany,New York,2010,5,54.29032258064516
Albany,New York,2010,6,48.1
Albany,New York,2010,7,59.193548387096776
Albany,New York,2010,8,49.516129032258064
Albany,New York,2010,9,45.1
Albany,New York,2010,10,33.935483870967744
Albany,New York,2010,11,36.5
Albany,New York,2010,12,42.774193548387096
Albany,New York,2011,1,54.29032258064516
Albany,New York,2011,2,50.892857142857146
Albany,New York,2011,3,41.61290322580645
Albany,New York,2011,4,43.43333333333333
Albany,New York,2011,5,43.83870967741935
Albany,New York,2011,6,49.333333333333336
Albany,New York,2011,7,52.41935483870968
Albany,New York,2011,8,44.61290322580645
Albany,New York,2011,9,40.733333333333334
Albany,New York,2011,10,33.903225806451616
Albany,New York,2011,11,42.46666666666667
Albany,New York,2011,12,40.25806451612903
Albany,New York,2012,1,39.193548387096776
Albany,New York,2012,2,39.758620689655174
Albany,New York,2012,3,41.58064516129032
Albany,New York,2012,4,48.8
Albany,New York,2012,5,48.74193548387097
Albany,New York,2012,6,45.766666666666666
Albany,New York,2012,7,53.806451612903224
Albany,New York,2012,8,54.41935483870968
Albany,New York,2012,9,34.8
